 Buffalo	18.5	16.0	14.1	51.9											
 Ottawa	13.5	12.1	11.6	33.7	30.1										
 Arizona	11.5	10.4	10.3	12.2	39.1	17.6									
 Vancouver	9.5	9.5	9.6	2.3	23.8	35.5	9.9								
 Detroit	8.5	8.6	8.8		7.0	32.8	28.9	5.3							
 Montreal	7.6	7.5	8.0			14.1	38.2	21.6	2.7						
 Chicago	6.5	7.0	7.2				23.1	39.7	15.0	1.3					
 NY Islanders	6.0	6.1	6.4					33.3	38.1	9.7	0.6				
 Edmonton	5.0	5.7	6.0						44.1	33.0	5.5	0.2			
 NY Rangers	3.5	4.8	5.1							55.9	26.8	2.8	0.1		
 Carolina	3.0	3.6	3.8								67.1	20.8	1.3	0.0	
 Calgary	2.5	2.9	3.2									76.2	14.5	0.5	0.0
 Dallas	2.0	2.4	2.6										84.1	8.6	0.1
 Florida	1.5	2.0	2.2											90.9	3.2
 Colorado	1.0
